[{'rouge-1': {'r': 0.65625, 'p': 0.7394366197183099, 'f': 0.6953642334283584}, 'rouge-2': {'r': 0.5737704918032787, 'p': 0.6542056074766355, 'f': 0.6113537068118459}, 'rouge-l': {'r': 0.65, 'p': 0.7323943661971831, 'f': 0.6887417168720671}}]
[{'rouge-1': {'r': 0.5647668393782384, 'p': 0.6855345911949685, 'f': 0.6193181768648309}, 'rouge-2': {'r': 0.43097643097643096, 'p': 0.5182186234817814, 'f': 0.4705882303363565}, 'rouge-l': {'r': 0.533678756476684, 'p': 0.6477987421383647, 'f': 0.5852272677739218}}]
[{'rouge-1': {'r': 0.5225225225225225, 'p': 0.5576923076923077, 'f': 0.5395348787262305}, 'rouge-2': {'r': 0.3558282208588957, 'p': 0.4084507042253521, 'f': 0.38032786387616235}, 'rouge-l': {'r': 0.5045045045045045, 'p': 0.5384615384615384, 'f': 0.5209302275634397}}]
[{'rouge-1': {'r': 0.6967741935483871, 'p': 0.7058823529411765, 'f': 0.7012986962989122}, 'rouge-2': {'r': 0.6470588235294118, 'p': 0.6383928571428571, 'f': 0.6426966242137104}, 'rouge-l': {'r': 0.6967741935483871, 'p': 0.7058823529411765, 'f': 0.7012986962989122}}]
[{'rouge-1': {'r': 0.4204081632653061, 'p': 0.5567567567567567, 'f': 0.47906976253921035}, 'rouge-2': {'r': 0.26575342465753427, 'p': 0.3619402985074627, 'f': 0.3064770883243613}, 'rouge-l': {'r': 0.40408163265306124, 'p': 0.5351351351351351, 'f': 0.4604651113764197}}]
[{'rouge-1': {'r': 0.6351351351351351, 'p': 0.7401574803149606, 'f': 0.6836363586655206}, 'rouge-2': {'r': 0.5, 'p': 0.5773809523809523, 'f': 0.5359115972357377}, 'rouge-l': {'r': 0.6351351351351351, 'p': 0.7401574803149606, 'f': 0.6836363586655206}}]
[{'rouge-1': {'r': 0.39893617021276595, 'p': 0.5474452554744526, 'f': 0.4615384566615858}, 'rouge-2': {'r': 0.31620553359683795, 'p': 0.39800995024875624, 'f': 0.352422902554581}, 'rouge-l': {'r': 0.3829787234042553, 'p': 0.5255474452554745, 'f': 0.44307691820004735}}]
[{'rouge-1': {'r': 0.553030303030303, 'p': 0.7525773195876289, 'f': 0.6375545802696364}, 'rouge-2': {'r': 0.40860215053763443, 'p': 0.5984251968503937, 'f': 0.48562299837254647}, 'rouge-l': {'r': 0.553030303030303, 'p': 0.7525773195876289, 'f': 0.6375545802696364}}]
[{'rouge-1': {'r': 0.49122807017543857, 'p': 0.6086956521739131, 'f': 0.5436893154453766}, 'rouge-2': {'r': 0.4090909090909091, 'p': 0.4876847290640394, 'f': 0.4449438152631234}, 'rouge-l': {'r': 0.47953216374269003, 'p': 0.5942028985507246, 'f': 0.5307443316266065}}]
[{'rouge-1': {'r': 0.4140625, 'p': 0.5463917525773195, 'f': 0.4711111062060247}, 'rouge-2': {'r': 0.2598870056497175, 'p': 0.35384615384615387, 'f': 0.29967426221816684}, 'rouge-l': {'r': 0.390625, 'p': 0.5154639175257731, 'f': 0.444444439539358}}]
[{'rouge-1': {'r': 0.5868544600938967, 'p': 0.6544502617801047, 'f': 0.6188118762029459}, 'rouge-2': {'r': 0.4550898203592814, 'p': 0.5241379310344828, 'f': 0.48717948220434754}, 'rouge-l': {'r': 0.5774647887323944, 'p': 0.643979057591623, 'f': 0.608910886103936}}]
[{'rouge-1': {'r': 0.45054945054945056, 'p': 0.5774647887323944, 'f': 0.5061728345823807}, 'rouge-2': {'r': 0.3730769230769231, 'p': 0.46190476190476193, 'f': 0.41276595250339526}, 'rouge-l': {'r': 0.44505494505494503, 'p': 0.5704225352112676, 'f': 0.49999999507620785}}]
[{'rouge-1': {'r': 0.553030303030303, 'p': 0.7525773195876289, 'f': 0.6375545802696364}, 'rouge-2': {'r': 0.40860215053763443, 'p': 0.5984251968503937, 'f': 0.48562299837254647}, 'rouge-l': {'r': 0.553030303030303, 'p': 0.7525773195876289, 'f': 0.6375545802696364}}]
[{'rouge-1': {'r': 0.43147208121827413, 'p': 0.4722222222222222, 'f': 0.45092837697303156}, 'rouge-2': {'r': 0.22653721682847897, 'p': 0.2641509433962264, 'f': 0.24390243405377032}, 'rouge-l': {'r': 0.4213197969543147, 'p': 0.46111111111111114, 'f': 0.4403182973974348}}]
[{'rouge-1': {'r': 0.6756756756756757, 'p': 0.7142857142857143, 'f': 0.6944444394483026}, 'rouge-2': {'r': 0.5925925925925926, 'p': 0.6632124352331606, 'f': 0.6259168654314596}, 'rouge-l': {'r': 0.6756756756756757, 'p': 0.7142857142857143, 'f': 0.6944444394483026}}]
[{'rouge-1': {'r': 0.34265734265734266, 'p': 0.5268817204301075, 'f': 0.4152542325125682}, 'rouge-2': {'r': 0.21808510638297873, 'p': 0.3228346456692913, 'f': 0.26031745550496355}, 'rouge-l': {'r': 0.3356643356643357, 'p': 0.5161290322580645, 'f': 0.40677965624138185}}]
[{'rouge-1': {'r': 0.5333333333333333, 'p': 0.632768361581921, 'f': 0.5788113645453999}, 'rouge-2': {'r': 0.3903225806451613, 'p': 0.4583333333333333, 'f': 0.42160278248855765}, 'rouge-l': {'r': 0.5285714285714286, 'p': 0.6271186440677966, 'f': 0.5736434058890693}}]
[{'rouge-1': {'r': 0.5068493150684932, 'p': 0.6820276497695853, 'f': 0.5815324116115039}, 'rouge-2': {'r': 0.3538135593220339, 'p': 0.540453074433657, 'f': 0.42765684540985416}, 'rouge-l': {'r': 0.4828767123287671, 'p': 0.6497695852534562, 'f': 0.5540275000201481}}]
[{'rouge-1': {'r': 0.5327868852459017, 'p': 0.6310679611650486, 'f': 0.5777777728134321}, 'rouge-2': {'r': 0.39664804469273746, 'p': 0.48299319727891155, 'f': 0.43558281713406605}, 'rouge-l': {'r': 0.5245901639344263, 'p': 0.6213592233009708, 'f': 0.5688888839245433}}]
[{'rouge-1': {'r': 0.6558441558441559, 'p': 0.7426470588235294, 'f': 0.6965517191571939}, 'rouge-2': {'r': 0.5275229357798165, 'p': 0.6284153005464481, 'f': 0.5735660798261205}, 'rouge-l': {'r': 0.6558441558441559, 'p': 0.7426470588235294, 'f': 0.6965517191571939}}]
[{'rouge-1': {'r': 0.3939393939393939, 'p': 0.48148148148148145, 'f': 0.43333332838333327}, 'rouge-2': {'r': 0.23809523809523808, 'p': 0.3225806451612903, 'f': 0.27397259785325584}, 'rouge-l': {'r': 0.37373737373737376, 'p': 0.4567901234567901, 'f': 0.4111111061611112}}]
[{'rouge-1': {'r': 0.525, 'p': 0.6176470588235294, 'f': 0.5675675626004384}, 'rouge-2': {'r': 0.4358974358974359, 'p': 0.5074626865671642, 'f': 0.4689655122701546}, 'rouge-l': {'r': 0.525, 'p': 0.6176470588235294, 'f': 0.5675675626004384}}]
[{'rouge-1': {'r': 0.5642201834862385, 'p': 0.6612903225806451, 'f': 0.6089108861204784}, 'rouge-2': {'r': 0.44574780058651026, 'p': 0.5241379310344828, 'f': 0.4817749554130114}, 'rouge-l': {'r': 0.5596330275229358, 'p': 0.6559139784946236, 'f': 0.6039603910709735}}]
[{'rouge-1': {'r': 0.42718446601941745, 'p': 0.5116279069767442, 'f': 0.465608460648918}, 'rouge-2': {'r': 0.30153846153846153, 'p': 0.37404580152671757, 'f': 0.33390118756185266}, 'rouge-l': {'r': 0.41262135922330095, 'p': 0.4941860465116279, 'f': 0.4497354447759021}}]
[{'rouge-1': {'r': 0.59375, 'p': 0.6440677966101694, 'f': 0.617886173870051}, 'rouge-2': {'r': 0.4427083333333333, 'p': 0.5151515151515151, 'f': 0.47619047121907593}, 'rouge-l': {'r': 0.5859375, 'p': 0.635593220338983, 'f': 0.6097560925692379}}]
[{'rouge-1': {'r': 0.3854166666666667, 'p': 0.5606060606060606, 'f': 0.45679011862825786}, 'rouge-2': {'r': 0.216, 'p': 0.313953488372093, 'f': 0.25592416578693206}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.48484848484848486, 'f': 0.3950617235665295}}]
[{'rouge-1': {'r': 0.4090909090909091, 'p': 0.5294117647058824, 'f': 0.46153845662064436}, 'rouge-2': {'r': 0.25301204819277107, 'p': 0.3442622950819672, 'f': 0.2916666617833719}, 'rouge-l': {'r': 0.4090909090909091, 'p': 0.5294117647058824, 'f': 0.46153845662064436}}]
[{'rouge-1': {'r': 0.4215686274509804, 'p': 0.6417910447761194, 'f': 0.5088757348594237}, 'rouge-2': {'r': 0.30714285714285716, 'p': 0.5058823529411764, 'f': 0.3822222175209877}, 'rouge-l': {'r': 0.4117647058823529, 'p': 0.6268656716417911, 'f': 0.49704141533279655}}]
[{'rouge-1': {'r': 0.6178010471204188, 'p': 0.6243386243386243, 'f': 0.6210526265790859}, 'rouge-2': {'r': 0.5054151624548736, 'p': 0.509090909090909, 'f': 0.5072463718116599}, 'rouge-l': {'r': 0.6073298429319371, 'p': 0.6137566137566137, 'f': 0.6105263107896122}}]
[{'rouge-1': {'r': 0.6216216216216216, 'p': 0.5897435897435898, 'f': 0.6052631528981995}, 'rouge-2': {'r': 0.4897959183673469, 'p': 0.48, 'f': 0.48484847984899504}, 'rouge-l': {'r': 0.6081081081081081, 'p': 0.5769230769230769, 'f': 0.5921052581613574}}]
[{'rouge-1': {'r': 0.5, 'p': 0.704225352112676, 'f': 0.5847953167812319}, 'rouge-2': {'r': 0.38345864661654133, 'p': 0.53125, 'f': 0.44541484229209977}, 'rouge-l': {'r': 0.5, 'p': 0.704225352112676, 'f': 0.5847953167812319}}]
[{'rouge-1': {'r': 0.5170454545454546, 'p': 0.6275862068965518, 'f': 0.5669781881930493}, 'rouge-2': {'r': 0.38686131386861317, 'p': 0.48623853211009177, 'f': 0.43089430400786577}, 'rouge-l': {'r': 0.5113636363636364, 'p': 0.6206896551724138, 'f': 0.5607476585980339}}]
[{'rouge-1': {'r': 0.47560975609756095, 'p': 0.7358490566037735, 'f': 0.5777777730085047}, 'rouge-2': {'r': 0.3768545994065282, 'p': 0.5879629629629629, 'f': 0.45931283429905595}, 'rouge-l': {'r': 0.47560975609756095, 'p': 0.7358490566037735, 'f': 0.5777777730085047}}]
[{'rouge-1': {'r': 0.5714285714285714, 'p': 0.611353711790393, 'f': 0.5907172945837563}, 'rouge-2': {'r': 0.479108635097493, 'p': 0.5196374622356495, 'f': 0.49855071964591474}, 'rouge-l': {'r': 0.5673469387755102, 'p': 0.6069868995633187, 'f': 0.5864978853010558}}]
[{'rouge-1': {'r': 0.6582278481012658, 'p': 0.7761194029850746, 'f': 0.7123287621570652}, 'rouge-2': {'r': 0.5590909090909091, 'p': 0.6721311475409836, 'f': 0.6104218312704345}, 'rouge-l': {'r': 0.6582278481012658, 'p': 0.7761194029850746, 'f': 0.7123287621570652}}]
[{'rouge-1': {'r': 0.28735632183908044, 'p': 0.43103448275862066, 'f': 0.34482758140689657}, 'rouge-2': {'r': 0.18382352941176472, 'p': 0.2976190476190476, 'f': 0.22727272255206624}, 'rouge-l': {'r': 0.28735632183908044, 'p': 0.43103448275862066, 'f': 0.34482758140689657}}]
[{'rouge-1': {'r': 0.57, 'p': 0.7125, 'f': 0.6333333283950617}, 'rouge-2': {'r': 0.4496124031007752, 'p': 0.5576923076923077, 'f': 0.4978540723107812}, 'rouge-l': {'r': 0.55, 'p': 0.6875, 'f': 0.6111111061728396}}]
[{'rouge-1': {'r': 0.5042735042735043, 'p': 0.6276595744680851, 'f': 0.5592417012205476}, 'rouge-2': {'r': 0.40789473684210525, 'p': 0.512396694214876, 'f': 0.45421244927692583}, 'rouge-l': {'r': 0.5042735042735043, 'p': 0.6276595744680851, 'f': 0.5592417012205476}}]
[{'rouge-1': {'r': 0.3858267716535433, 'p': 0.5, 'f': 0.4355555506386173}, 'rouge-2': {'r': 0.1927710843373494, 'p': 0.2302158273381295, 'f': 0.20983606061295362}, 'rouge-l': {'r': 0.3700787401574803, 'p': 0.47959183673469385, 'f': 0.41777777286083956}}]
[{'rouge-1': {'r': 0.5570469798657718, 'p': 0.6587301587301587, 'f': 0.6036363586713389}, 'rouge-2': {'r': 0.4144144144144144, 'p': 0.519774011299435, 'f': 0.46115287726911264}, 'rouge-l': {'r': 0.5503355704697986, 'p': 0.6507936507936508, 'f': 0.5963636313986116}}]
[{'rouge-1': {'r': 0.39805825242718446, 'p': 0.6119402985074627, 'f': 0.48235293640069205}, 'rouge-2': {'r': 0.2785714285714286, 'p': 0.4642857142857143, 'f': 0.34821428102678575}, 'rouge-l': {'r': 0.3883495145631068, 'p': 0.5970149253731343, 'f': 0.4705882305183391}}]
[{'rouge-1': {'r': 0.8482758620689655, 'p': 0.831081081081081, 'f': 0.839590438686531}, 'rouge-2': {'r': 0.7751196172248804, 'p': 0.7641509433962265, 'f': 0.7695961945251946}, 'rouge-l': {'r': 0.8482758620689655, 'p': 0.831081081081081, 'f': 0.839590438686531}}]
[{'rouge-1': {'r': 0.543859649122807, 'p': 0.7469879518072289, 'f': 0.6294416194892938}, 'rouge-2': {'r': 0.44666666666666666, 'p': 0.6090909090909091, 'f': 0.5153846105029587}, 'rouge-l': {'r': 0.543859649122807, 'p': 0.7469879518072289, 'f': 0.6294416194892938}}]
[{'rouge-1': {'r': 0.5396825396825397, 'p': 0.7083333333333334, 'f': 0.6126126077039202}, 'rouge-2': {'r': 0.43352601156069365, 'p': 0.5681818181818182, 'f': 0.49180327377887667}, 'rouge-l': {'r': 0.5238095238095238, 'p': 0.6875, 'f': 0.5945945896859022}}]
[{'rouge-1': {'r': 0.5588235294117647, 'p': 0.6209150326797386, 'f': 0.5882352891314976}, 'rouge-2': {'r': 0.41630901287553645, 'p': 0.46634615384615385, 'f': 0.43990929206822266}, 'rouge-l': {'r': 0.5588235294117647, 'p': 0.6209150326797386, 'f': 0.5882352891314976}}]
[{'rouge-1': {'r': 0.39473684210526316, 'p': 0.5844155844155844, 'f': 0.47120418366930733}, 'rouge-2': {'r': 0.22580645161290322, 'p': 0.3645833333333333, 'f': 0.27888445742765994}, 'rouge-l': {'r': 0.39473684210526316, 'p': 0.5844155844155844, 'f': 0.47120418366930733}}]
[{'rouge-1': {'r': 0.39622641509433965, 'p': 0.6176470588235294, 'f': 0.4827586159281279}, 'rouge-2': {'r': 0.2792207792207792, 'p': 0.48314606741573035, 'f': 0.3539094603783299}, 'rouge-l': {'r': 0.36792452830188677, 'p': 0.5735294117647058, 'f': 0.4482758573074382}}]
[{'rouge-1': {'r': 0.4782608695652174, 'p': 0.6626506024096386, 'f': 0.5555555506861546}, 'rouge-2': {'r': 0.35443037974683544, 'p': 0.5333333333333333, 'f': 0.4258555085110382}, 'rouge-l': {'r': 0.4782608695652174, 'p': 0.6626506024096386, 'f': 0.5555555506861546}}]
[{'rouge-1': {'r': 0.3006993006993007, 'p': 0.37719298245614036, 'f': 0.33463034525821744}, 'rouge-2': {'r': 0.13170731707317074, 'p': 0.16666666666666666, 'f': 0.14713895964629645}, 'rouge-l': {'r': 0.2867132867132867, 'p': 0.35964912280701755, 'f': 0.3190661429235871}}]
[{'rouge-1': {'r': 0.39644970414201186, 'p': 0.48905109489051096, 'f': 0.43790849178670604}, 'rouge-2': {'r': 0.27755102040816326, 'p': 0.3383084577114428, 'f': 0.3049327304746728}, 'rouge-l': {'r': 0.38461538461538464, 'p': 0.4744525547445255, 'f': 0.42483659636186943}}]
[{'rouge-1': {'r': 0.61, 'p': 0.8243243243243243, 'f': 0.701149420398996}, 'rouge-2': {'r': 0.5078125, 'p': 0.7471264367816092, 'f': 0.6046511579725257}, 'rouge-l': {'r': 0.61, 'p': 0.8243243243243243, 'f': 0.701149420398996}}]
[{'rouge-1': {'r': 0.6975308641975309, 'p': 0.795774647887324, 'f': 0.7434210476532203}, 'rouge-2': {'r': 0.5914893617021276, 'p': 0.702020202020202, 'f': 0.6420323276000193}, 'rouge-l': {'r': 0.691358024691358, 'p': 0.7887323943661971, 'f': 0.7368421002847992}}]
[{'rouge-1': {'r': 0.5432098765432098, 'p': 0.6082949308755761, 'f': 0.5739130384942345}, 'rouge-2': {'r': 0.38144329896907214, 'p': 0.46835443037974683, 'f': 0.42045454050684394}, 'rouge-l': {'r': 0.5267489711934157, 'p': 0.5898617511520737, 'f': 0.5565217341464085}}]
[{'rouge-1': {'r': 0.39849624060150374, 'p': 0.5047619047619047, 'f': 0.44537814632970835}, 'rouge-2': {'r': 0.2011173184357542, 'p': 0.23225806451612904, 'f': 0.21556885730126585}, 'rouge-l': {'r': 0.37593984962406013, 'p': 0.47619047619047616, 'f': 0.42016806229609494}}]
[{'rouge-1': {'r': 0.5213675213675214, 'p': 0.5754716981132075, 'f': 0.5470851968058881}, 'rouge-2': {'r': 0.40119760479041916, 'p': 0.4527027027027027, 'f': 0.4253968204150164}, 'rouge-l': {'r': 0.49572649572649574, 'p': 0.5471698113207547, 'f': 0.5201793672094753}}]
[{'rouge-1': {'r': 0.6153846153846154, 'p': 0.6741573033707865, 'f': 0.6434316303991261}, 'rouge-2': {'r': 0.49324324324324326, 'p': 0.5509433962264151, 'f': 0.5204991037496705}, 'rouge-l': {'r': 0.6102564102564103, 'p': 0.6685393258426966, 'f': 0.6380697001042199}}]
[{'rouge-1': {'r': 0.5053763440860215, 'p': 0.618421052631579, 'f': 0.5562130128020729}, 'rouge-2': {'r': 0.4107142857142857, 'p': 0.49783549783549785, 'f': 0.4500978424040962}, 'rouge-l': {'r': 0.5, 'p': 0.6118421052631579, 'f': 0.5502958530387592}}]
[{'rouge-1': {'r': 0.43283582089552236, 'p': 0.48333333333333334, 'f': 0.45669290840101684}, 'rouge-2': {'r': 0.2784090909090909, 'p': 0.32450331125827814, 'f': 0.2996941846316715}, 'rouge-l': {'r': 0.417910447761194, 'p': 0.4666666666666667, 'f': 0.4409448769049539}}]
[{'rouge-1': {'r': 0.42920353982300885, 'p': 0.5359116022099447, 'f': 0.47665847171959985}, 'rouge-2': {'r': 0.2905982905982906, 'p': 0.3938223938223938, 'f': 0.33442622462192967}, 'rouge-l': {'r': 0.415929203539823, 'p': 0.5193370165745856, 'f': 0.46191645697758515}}]
[{'rouge-1': {'r': 0.5867768595041323, 'p': 0.8352941176470589, 'f': 0.6893203835022151}, 'rouge-2': {'r': 0.4779874213836478, 'p': 0.6909090909090909, 'f': 0.5650557572476889}, 'rouge-l': {'r': 0.5867768595041323, 'p': 0.8352941176470589, 'f': 0.6893203835022151}}]
[{'rouge-1': {'r': 0.6551724137931034, 'p': 0.5480769230769231, 'f': 0.5968586337830653}, 'rouge-2': {'r': 0.47863247863247865, 'p': 0.39436619718309857, 'f': 0.43243242747901794}, 'rouge-l': {'r': 0.6551724137931034, 'p': 0.5480769230769231, 'f': 0.5968586337830653}}]
[{'rouge-1': {'r': 0.5578231292517006, 'p': 0.6721311475409836, 'f': 0.60966542255248}, 'rouge-2': {'r': 0.419811320754717, 'p': 0.5114942528735632, 'f': 0.4611398914215147}, 'rouge-l': {'r': 0.5306122448979592, 'p': 0.639344262295082, 'f': 0.5799256456008072}}]
[{'rouge-1': {'r': 0.42276422764227645, 'p': 0.5306122448979592, 'f': 0.4705882303581009}, 'rouge-2': {'r': 0.25405405405405407, 'p': 0.3381294964028777, 'f': 0.2901234518909085}, 'rouge-l': {'r': 0.4065040650406504, 'p': 0.5102040816326531, 'f': 0.4524886828467886}}]
[{'rouge-1': {'r': 0.6023391812865497, 'p': 0.6688311688311688, 'f': 0.6338461488598344}, 'rouge-2': {'r': 0.48717948717948717, 'p': 0.5253456221198156, 'f': 0.5055432322576585}, 'rouge-l': {'r': 0.5964912280701754, 'p': 0.6623376623376623, 'f': 0.6276923027059882}}]
[{'rouge-1': {'r': 0.4221105527638191, 'p': 0.5915492957746479, 'f': 0.49266861684058455}, 'rouge-2': {'r': 0.3110367892976589, 'p': 0.42857142857142855, 'f': 0.36046511140533927}, 'rouge-l': {'r': 0.4120603015075377, 'p': 0.5774647887323944, 'f': 0.4809384115619921}}]
[{'rouge-1': {'r': 0.4895833333333333, 'p': 0.5, 'f': 0.49473683710581723}, 'rouge-2': {'r': 0.3381818181818182, 'p': 0.3549618320610687, 'f': 0.3463687100867292}, 'rouge-l': {'r': 0.46875, 'p': 0.4787234042553192, 'f': 0.4736842055268698}}]
[{'rouge-1': {'r': 0.43790849673202614, 'p': 0.4962962962962963, 'f': 0.4652777727973091}, 'rouge-2': {'r': 0.24154589371980675, 'p': 0.2717391304347826, 'f': 0.25575447072062596}, 'rouge-l': {'r': 0.43137254901960786, 'p': 0.4888888888888889, 'f': 0.45833332835286456}}]
[{'rouge-1': {'r': 0.4186046511627907, 'p': 0.5346534653465347, 'f': 0.46956521246540645}, 'rouge-2': {'r': 0.23204419889502761, 'p': 0.30656934306569344, 'f': 0.26415093849195054}, 'rouge-l': {'r': 0.4108527131782946, 'p': 0.5247524752475248, 'f': 0.4608695602914934}}]
[{'rouge-1': {'r': 0.6502732240437158, 'p': 0.6397849462365591, 'f': 0.6449864448648291}, 'rouge-2': {'r': 0.5367647058823529, 'p': 0.5347985347985348, 'f': 0.5357798115137784}, 'rouge-l': {'r': 0.644808743169399, 'p': 0.6344086021505376, 'f': 0.6395663906642872}}]
[{'rouge-1': {'r': 0.5040322580645161, 'p': 0.625, 'f': 0.5580357093431123}, 'rouge-2': {'r': 0.38107416879795397, 'p': 0.473015873015873, 'f': 0.42209631233839456}, 'rouge-l': {'r': 0.5040322580645161, 'p': 0.625, 'f': 0.5580357093431123}}]
[{'rouge-1': {'r': 0.5495049504950495, 'p': 0.6065573770491803, 'f': 0.5766233716355541}, 'rouge-2': {'r': 0.44966442953020136, 'p': 0.5254901960784314, 'f': 0.48462928978610836}, 'rouge-l': {'r': 0.5445544554455446, 'p': 0.6010928961748634, 'f': 0.5714285664407489}}]
[{'rouge-1': {'r': 0.5169082125603864, 'p': 0.6149425287356322, 'f': 0.5616797850637569}, 'rouge-2': {'r': 0.353125, 'p': 0.46502057613168724, 'f': 0.40142095424095103}, 'rouge-l': {'r': 0.5024154589371981, 'p': 0.5977011494252874, 'f': 0.5459317535676939}}]
[{'rouge-1': {'r': 0.4117647058823529, 'p': 0.7446808510638298, 'f': 0.5303030257174014}, 'rouge-2': {'r': 0.28440366972477066, 'p': 0.5740740740740741, 'f': 0.3803680937287817}, 'rouge-l': {'r': 0.38823529411764707, 'p': 0.7021276595744681, 'f': 0.49999999541437107}}]
[{'rouge-1': {'r': 0.5190476190476191, 'p': 0.5369458128078818, 'f': 0.5278450313210491}, 'rouge-2': {'r': 0.39002932551319647, 'p': 0.42765273311897106, 'f': 0.40797545513328504}, 'rouge-l': {'r': 0.5095238095238095, 'p': 0.5270935960591133, 'f': 0.5181598012968359}}]
[{'rouge-1': {'r': 0.5310077519379846, 'p': 0.631336405529954, 'f': 0.57684210030041}, 'rouge-2': {'r': 0.3929471032745592, 'p': 0.46567164179104475, 'f': 0.4262295032325913}, 'rouge-l': {'r': 0.5232558139534884, 'p': 0.6221198156682027, 'f': 0.5684210476688311}}]
[{'rouge-1': {'r': 0.5251798561151079, 'p': 0.8021978021978022, 'f': 0.6347826039134216}, 'rouge-2': {'r': 0.4486486486486487, 'p': 0.7155172413793104, 'f': 0.5514950118740413}, 'rouge-l': {'r': 0.5251798561151079, 'p': 0.8021978021978022, 'f': 0.6347826039134216}}]
[{'rouge-1': {'r': 0.5355648535564853, 'p': 0.6009389671361502, 'f': 0.5663716764324733}, 'rouge-2': {'r': 0.4644808743169399, 'p': 0.4927536231884058, 'f': 0.4781997137104097}, 'rouge-l': {'r': 0.5271966527196653, 'p': 0.5915492957746479, 'f': 0.5575221189103494}}]
[{'rouge-1': {'r': 0.6503496503496503, 'p': 0.7045454545454546, 'f': 0.6763636313716364}, 'rouge-2': {'r': 0.5446428571428571, 'p': 0.6069651741293532, 'f': 0.5741176420734672}, 'rouge-l': {'r': 0.6503496503496503, 'p': 0.7045454545454546, 'f': 0.6763636313716364}}]
[{'rouge-1': {'r': 0.6020408163265306, 'p': 0.6145833333333334, 'f': 0.6082474176809439}, 'rouge-2': {'r': 0.3819444444444444, 'p': 0.4330708661417323, 'f': 0.4059040540602661}, 'rouge-l': {'r': 0.5816326530612245, 'p': 0.59375, 'f': 0.5876288609799128}}]
[{'rouge-1': {'r': 0.4977973568281938, 'p': 0.5885416666666666, 'f': 0.5393794699752223}, 'rouge-2': {'r': 0.42613636363636365, 'p': 0.48859934853420195, 'f': 0.4552351998791566}, 'rouge-l': {'r': 0.4889867841409692, 'p': 0.578125, 'f': 0.5298329305957474}}]
