[{'rouge-1': {'r': 0.3473684210526316, 'p': 0.4583333333333333, 'f': 0.39520957593316364}, 'rouge-2': {'r': 0.1984732824427481, 'p': 0.26804123711340205, 'f': 0.22807017054978465}, 'rouge-l': {'r': 0.3368421052631579, 'p': 0.4444444444444444, 'f': 0.38323352802897204}}]
[{'rouge-1': {'r': 0.44871794871794873, 'p': 0.5263157894736842, 'f': 0.4844290607756133}, 'rouge-2': {'r': 0.36486486486486486, 'p': 0.391304347826087, 'f': 0.37762237262849047}, 'rouge-l': {'r': 0.4230769230769231, 'p': 0.49624060150375937, 'f': 0.4567473998759594}}]
[{'rouge-1': {'r': 0.47928994082840237, 'p': 0.6532258064516129, 'f': 0.5529010190087246}, 'rouge-2': {'r': 0.34509803921568627, 'p': 0.5176470588235295, 'f': 0.4141176422588236}, 'rouge-l': {'r': 0.46745562130177515, 'p': 0.6370967741935484, 'f': 0.5392491418756189}}]
[{'rouge-1': {'r': 0.573170731707317, 'p': 0.6861313868613139, 'f': 0.6245847126482049}, 'rouge-2': {'r': 0.4817813765182186, 'p': 0.5862068965517241, 'f': 0.5288888839366914}, 'rouge-l': {'r': 0.5548780487804879, 'p': 0.6642335766423357, 'f': 0.6046511578309292}}]
[{'rouge-1': {'r': 0.3627450980392157, 'p': 0.5068493150684932, 'f': 0.42285713799444896}, 'rouge-2': {'r': 0.1780821917808219, 'p': 0.2708333333333333, 'f': 0.21487602827129304}, 'rouge-l': {'r': 0.3627450980392157, 'p': 0.5068493150684932, 'f': 0.42285713799444896}}]
[{'rouge-1': {'r': 0.6153846153846154, 'p': 0.6486486486486487, 'f': 0.6315789423718837}, 'rouge-2': {'r': 0.5521472392638037, 'p': 0.5769230769230769, 'f': 0.5642633178864201}, 'rouge-l': {'r': 0.6153846153846154, 'p': 0.6486486486486487, 'f': 0.6315789423718837}}]
[{'rouge-1': {'r': 0.6720430107526881, 'p': 0.6944444444444444, 'f': 0.6830601042909612}, 'rouge-2': {'r': 0.5650557620817844, 'p': 0.6055776892430279, 'f': 0.5846153796213759}, 'rouge-l': {'r': 0.6451612903225806, 'p': 0.6666666666666666, 'f': 0.6557376999193766}}]
[{'rouge-1': {'r': 0.6571428571428571, 'p': 0.8, 'f': 0.7215686224990387}, 'rouge-2': {'r': 0.49748743718592964, 'p': 0.66, 'f': 0.5673352386515711}, 'rouge-l': {'r': 0.6571428571428571, 'p': 0.8, 'f': 0.7215686224990387}}]
[{'rouge-1': {'r': 0.46218487394957986, 'p': 0.6111111111111112, 'f': 0.5263157845699504}, 'rouge-2': {'r': 0.3076923076923077, 'p': 0.44036697247706424, 'f': 0.3622641461006764}, 'rouge-l': {'r': 0.453781512605042, 'p': 0.6, 'f': 0.5167464065795198}}]
[{'rouge-1': {'r': 0.5886075949367089, 'p': 0.5568862275449101, 'f': 0.5723076873115267}, 'rouge-2': {'r': 0.47029702970297027, 'p': 0.405982905982906, 'f': 0.4357798115406952}, 'rouge-l': {'r': 0.5759493670886076, 'p': 0.5449101796407185, 'f': 0.5599999950038343}}]
[{'rouge-1': {'r': 0.5528455284552846, 'p': 0.6238532110091743, 'f': 0.5862068915699317}, 'rouge-2': {'r': 0.3878787878787879, 'p': 0.47058823529411764, 'f': 0.4252491644816283}, 'rouge-l': {'r': 0.5365853658536586, 'p': 0.6055045871559633, 'f': 0.5689655122595869}}]
[{'rouge-1': {'r': 0.5028901734104047, 'p': 0.6304347826086957, 'f': 0.5594855256099504}, 'rouge-2': {'r': 0.3983739837398374, 'p': 0.5240641711229946, 'f': 0.4526558842383287}, 'rouge-l': {'r': 0.5028901734104047, 'p': 0.6304347826086957, 'f': 0.5594855256099504}}]
[{'rouge-1': {'r': 0.4797297297297297, 'p': 0.5378787878787878, 'f': 0.5071428521591838}, 'rouge-2': {'r': 0.36507936507936506, 'p': 0.40828402366863903, 'f': 0.38547485535080056}, 'rouge-l': {'r': 0.4797297297297297, 'p': 0.5378787878787878, 'f': 0.5071428521591838}}]
[{'rouge-1': {'r': 0.4074074074074074, 'p': 0.5092592592592593, 'f': 0.45267489218107}, 'rouge-2': {'r': 0.2983425414364641, 'p': 0.34615384615384615, 'f': 0.3204747724755876}, 'rouge-l': {'r': 0.4074074074074074, 'p': 0.5092592592592593, 'f': 0.45267489218107}}]
[{'rouge-1': {'r': 0.47761194029850745, 'p': 0.6881720430107527, 'f': 0.5638766471454909}, 'rouge-2': {'r': 0.39226519337016574, 'p': 0.5867768595041323, 'f': 0.4701986706940486}, 'rouge-l': {'r': 0.4701492537313433, 'p': 0.6774193548387096, 'f': 0.5550660744582663}}]
[{'rouge-1': {'r': 0.3333333333333333, 'p': 0.5584415584415584, 'f': 0.4174757234739372}, 'rouge-2': {'r': 0.21022727272727273, 'p': 0.37373737373737376, 'f': 0.2690909044829091}, 'rouge-l': {'r': 0.3178294573643411, 'p': 0.5324675324675324, 'f': 0.3980582477457819}}]
[{'rouge-1': {'r': 0.42780748663101603, 'p': 0.54421768707483, 'f': 0.4790419112393775}, 'rouge-2': {'r': 0.32209737827715357, 'p': 0.4, 'f': 0.3568464680872403}, 'rouge-l': {'r': 0.42245989304812837, 'p': 0.5374149659863946, 'f': 0.47305388728728176}}]
[{'rouge-1': {'r': 0.5189873417721519, 'p': 0.6507936507936508, 'f': 0.5774647837958738}, 'rouge-2': {'r': 0.46, 'p': 0.5542168674698795, 'f': 0.5027322354803071}, 'rouge-l': {'r': 0.5189873417721519, 'p': 0.6507936507936508, 'f': 0.5774647837958738}}]
[{'rouge-1': {'r': 0.4117647058823529, 'p': 0.5283018867924528, 'f': 0.4628099124322109}, 'rouge-2': {'r': 0.26744186046511625, 'p': 0.32857142857142857, 'f': 0.2948717899243919}, 'rouge-l': {'r': 0.38235294117647056, 'p': 0.49056603773584906, 'f': 0.42975206119254156}}]
[{'rouge-1': {'r': 0.29333333333333333, 'p': 0.5641025641025641, 'f': 0.38596490777931675}, 'rouge-2': {'r': 0.21176470588235294, 'p': 0.42857142857142855, 'f': 0.28346456250232505}, 'rouge-l': {'r': 0.28, 'p': 0.5384615384615384, 'f': 0.36842104813019394}}]
[{'rouge-1': {'r': 0.5546875, 'p': 0.6698113207547169, 'f': 0.606837601881803}, 'rouge-2': {'r': 0.45977011494252873, 'p': 0.5594405594405595, 'f': 0.5047318562465545}, 'rouge-l': {'r': 0.5546875, 'p': 0.6698113207547169, 'f': 0.606837601881803}}]
[{'rouge-1': {'r': 0.46218487394957986, 'p': 0.5092592592592593, 'f': 0.48458149280909785}, 'rouge-2': {'r': 0.3081761006289308, 'p': 0.35, 'f': 0.32775919234460466}, 'rouge-l': {'r': 0.46218487394957986, 'p': 0.5092592592592593, 'f': 0.48458149280909785}}]
[{'rouge-1': {'r': 0.5625, 'p': 0.6153846153846154, 'f': 0.5877550970508955}, 'rouge-2': {'r': 0.46111111111111114, 'p': 0.538961038961039, 'f': 0.49700598305425087}, 'rouge-l': {'r': 0.5625, 'p': 0.6153846153846154, 'f': 0.5877550970508955}}]
[{'rouge-1': {'r': 0.5714285714285714, 'p': 0.7295597484276729, 'f': 0.6408839729744208}, 'rouge-2': {'r': 0.4364820846905538, 'p': 0.5800865800865801, 'f': 0.498141259040298}, 'rouge-l': {'r': 0.5665024630541872, 'p': 0.7232704402515723, 'f': 0.6353591110959678}}]
[{'rouge-1': {'r': 0.4897959183673469, 'p': 0.5333333333333333, 'f': 0.5106382928813943}, 'rouge-2': {'r': 0.350253807106599, 'p': 0.3898305084745763, 'f': 0.36898395223354974}, 'rouge-l': {'r': 0.4489795918367347, 'p': 0.4888888888888889, 'f': 0.46808510139203263}}]
[{'rouge-1': {'r': 0.7, 'p': 0.7903225806451613, 'f': 0.7424242374426079}, 'rouge-2': {'r': 0.6404494382022472, 'p': 0.6951219512195121, 'f': 0.6666666616750453}, 'rouge-l': {'r': 0.7, 'p': 0.7903225806451613, 'f': 0.7424242374426079}}]
[{'rouge-1': {'r': 0.4970414201183432, 'p': 0.60431654676259, 'f': 0.5454545405019817}, 'rouge-2': {'r': 0.35714285714285715, 'p': 0.43956043956043955, 'f': 0.39408866500424666}, 'rouge-l': {'r': 0.4911242603550296, 'p': 0.5971223021582733, 'f': 0.5389610340084754}}]
[{'rouge-1': {'r': 0.5740740740740741, 'p': 0.6158940397350994, 'f': 0.5942491962841306}, 'rouge-2': {'r': 0.5358649789029536, 'p': 0.5474137931034483, 'f': 0.5415778201604831}, 'rouge-l': {'r': 0.5740740740740741, 'p': 0.6158940397350994, 'f': 0.5942491962841306}}]
[{'rouge-1': {'r': 0.6145833333333334, 'p': 0.7195121951219512, 'f': 0.6629213433455373}, 'rouge-2': {'r': 0.5208333333333334, 'p': 0.6302521008403361, 'f': 0.5703422003683731}, 'rouge-l': {'r': 0.609375, 'p': 0.7134146341463414, 'f': 0.6573033658174473}}]
[{'rouge-1': {'r': 0.5098039215686274, 'p': 0.5909090909090909, 'f': 0.5473684160797786}, 'rouge-2': {'r': 0.41353383458646614, 'p': 0.48672566371681414, 'f': 0.4471544665777646}, 'rouge-l': {'r': 0.5098039215686274, 'p': 0.5909090909090909, 'f': 0.5473684160797786}}]
[{'rouge-1': {'r': 0.46923076923076923, 'p': 0.6777777777777778, 'f': 0.5545454497107439}, 'rouge-2': {'r': 0.36464088397790057, 'p': 0.559322033898305, 'f': 0.44147156712833185}, 'rouge-l': {'r': 0.45384615384615384, 'p': 0.6555555555555556, 'f': 0.5363636315289257}}]
[{'rouge-1': {'r': 0.16363636363636364, 'p': 0.2903225806451613, 'f': 0.20930232097079512}, 'rouge-2': {'r': 0.03278688524590164, 'p': 0.06060606060606061, 'f': 0.04255318693300184}, 'rouge-l': {'r': 0.14545454545454545, 'p': 0.25806451612903225, 'f': 0.18604650701730677}}]
[{'rouge-1': {'r': 0.5922330097087378, 'p': 0.6853932584269663, 'f': 0.635416661693251}, 'rouge-2': {'r': 0.4418604651162791, 'p': 0.5404814004376368, 'f': 0.4862204674913394}, 'rouge-l': {'r': 0.5922330097087378, 'p': 0.6853932584269663, 'f': 0.635416661693251}}]
[{'rouge-1': {'r': 0.5393700787401575, 'p': 0.681592039800995, 'f': 0.6021977972656444}, 'rouge-2': {'r': 0.4365482233502538, 'p': 0.5566343042071198, 'f': 0.48933143177295435}, 'rouge-l': {'r': 0.515748031496063, 'p': 0.6517412935323383, 'f': 0.5758241708920179}}]
[{'rouge-1': {'r': 0.5340314136125655, 'p': 0.6035502958579881, 'f': 0.5666666616853396}, 'rouge-2': {'r': 0.4065934065934066, 'p': 0.47639484978540775, 'f': 0.4387351728968583}, 'rouge-l': {'r': 0.5340314136125655, 'p': 0.6035502958579881, 'f': 0.5666666616853396}}]
[{'rouge-1': {'r': 0.6284403669724771, 'p': 0.7098445595854922, 'f': 0.6666666616851665}, 'rouge-2': {'r': 0.5077881619937694, 'p': 0.5884476534296029, 'f': 0.5451504966993098}, 'rouge-l': {'r': 0.6284403669724771, 'p': 0.7098445595854922, 'f': 0.6666666616851665}}]
[{'rouge-1': {'r': 0.6296296296296297, 'p': 0.6830357142857143, 'f': 0.6552462476849361}, 'rouge-2': {'r': 0.5, 'p': 0.573170731707317, 'f': 0.5340909041141529}, 'rouge-l': {'r': 0.6131687242798354, 'p': 0.6651785714285714, 'f': 0.6381156266999253}}]
[{'rouge-1': {'r': 0.558252427184466, 'p': 0.6534090909090909, 'f': 0.6020942358685344}, 'rouge-2': {'r': 0.4304635761589404, 'p': 0.49242424242424243, 'f': 0.4593639526197106}, 'rouge-l': {'r': 0.558252427184466, 'p': 0.6534090909090909, 'f': 0.6020942358685344}}]
[{'rouge-1': {'r': 0.6243654822335025, 'p': 0.7321428571428571, 'f': 0.6739725977712892}, 'rouge-2': {'r': 0.5294117647058824, 'p': 0.6144578313253012, 'f': 0.5687732292283828}, 'rouge-l': {'r': 0.6192893401015228, 'p': 0.7261904761904762, 'f': 0.6684931457164947}}]
[{'rouge-1': {'r': 0.5706521739130435, 'p': 0.6862745098039216, 'f': 0.623145395635781}, 'rouge-2': {'r': 0.4311594202898551, 'p': 0.5384615384615384, 'f': 0.4788732344978523}, 'rouge-l': {'r': 0.5597826086956522, 'p': 0.673202614379085, 'f': 0.6112759594340006}}]
[{'rouge-1': {'r': 0.5870646766169154, 'p': 0.7375, 'f': 0.6537396072528603}, 'rouge-2': {'r': 0.49363057324840764, 'p': 0.6275303643724697, 'f': 0.5525846653030463}, 'rouge-l': {'r': 0.5870646766169154, 'p': 0.7375, 'f': 0.6537396072528603}}]
[{'rouge-1': {'r': 0.4716981132075472, 'p': 0.6067961165048543, 'f': 0.5307855577111535}, 'rouge-2': {'r': 0.3598901098901099, 'p': 0.445578231292517, 'f': 0.39817628684989975}, 'rouge-l': {'r': 0.4641509433962264, 'p': 0.5970873786407767, 'f': 0.5222929887090303}}]
[{'rouge-1': {'r': 0.4207650273224044, 'p': 0.6311475409836066, 'f': 0.5049180279868855}, 'rouge-2': {'r': 0.27075812274368233, 'p': 0.4716981132075472, 'f': 0.3440366926139425}, 'rouge-l': {'r': 0.40437158469945356, 'p': 0.6065573770491803, 'f': 0.4852458968393444}}]
[{'rouge-1': {'r': 0.5077720207253886, 'p': 0.620253164556962, 'f': 0.558404553454274}, 'rouge-2': {'r': 0.4264705882352941, 'p': 0.5110132158590308, 'f': 0.46492985476010135}, 'rouge-l': {'r': 0.5077720207253886, 'p': 0.620253164556962, 'f': 0.558404553454274}}]
[{'rouge-1': {'r': 0.38235294117647056, 'p': 0.48872180451127817, 'f': 0.429042899364986}, 'rouge-2': {'r': 0.23577235772357724, 'p': 0.31521739130434784, 'f': 0.2697674369644133}, 'rouge-l': {'r': 0.3588235294117647, 'p': 0.45864661654135336, 'f': 0.40264025910095963}}]
[{'rouge-1': {'r': 0.5949367088607594, 'p': 0.698019801980198, 'f': 0.6423690155329207}, 'rouge-2': {'r': 0.48484848484848486, 'p': 0.6037735849056604, 'f': 0.5378151211100912}, 'rouge-l': {'r': 0.5907172995780591, 'p': 0.693069306930693, 'f': 0.6378132068768841}}]
[{'rouge-1': {'r': 0.5777777777777777, 'p': 0.6227544910179641, 'f': 0.599423626130937}, 'rouge-2': {'r': 0.4781021897810219, 'p': 0.5198412698412699, 'f': 0.4980988543243361}, 'rouge-l': {'r': 0.5666666666666667, 'p': 0.6107784431137725, 'f': 0.5878962486093234}}]
[{'rouge-1': {'r': 0.5275590551181102, 'p': 0.6203703703703703, 'f': 0.5702127609901314}, 'rouge-2': {'r': 0.3764705882352941, 'p': 0.47761194029850745, 'f': 0.42105262664906506}, 'rouge-l': {'r': 0.5275590551181102, 'p': 0.6203703703703703, 'f': 0.5702127609901314}}]
[{'rouge-1': {'r': 0.3944954128440367, 'p': 0.43, 'f': 0.41148324859778856}, 'rouge-2': {'r': 0.2153846153846154, 'p': 0.2074074074074074, 'f': 0.21132074971876127}, 'rouge-l': {'r': 0.3486238532110092, 'p': 0.38, 'f': 0.3636363586456354}}]
[{'rouge-1': {'r': 0.519163763066202, 'p': 0.6208333333333333, 'f': 0.5654648906754426}, 'rouge-2': {'r': 0.43231441048034935, 'p': 0.5210526315789473, 'f': 0.47255369432732786}, 'rouge-l': {'r': 0.5121951219512195, 'p': 0.6125, 'f': 0.5578747578481182}}]
[{'rouge-1': {'r': 0.6381909547738693, 'p': 0.7791411042944786, 'f': 0.701657453612985}, 'rouge-2': {'r': 0.5290102389078498, 'p': 0.6828193832599119, 'f': 0.5961538412343936}, 'rouge-l': {'r': 0.6381909547738693, 'p': 0.7791411042944786, 'f': 0.701657453612985}}]
[{'rouge-1': {'r': 0.35064935064935066, 'p': 0.48214285714285715, 'f': 0.40601503271863876}, 'rouge-2': {'r': 0.2553191489361702, 'p': 0.375, 'f': 0.30379746353469006}, 'rouge-l': {'r': 0.35064935064935066, 'p': 0.48214285714285715, 'f': 0.40601503271863876}}]
[{'rouge-1': {'r': 0.5177664974619289, 'p': 0.6891891891891891, 'f': 0.5913043429269482}, 'rouge-2': {'r': 0.4186046511627907, 'p': 0.5550660792951542, 'f': 0.4772727223709396}, 'rouge-l': {'r': 0.5076142131979695, 'p': 0.6756756756756757, 'f': 0.5797101400283975}}]
[{'rouge-1': {'r': 0.5411764705882353, 'p': 0.5897435897435898, 'f': 0.5644171729233317}, 'rouge-2': {'r': 0.34210526315789475, 'p': 0.4375, 'f': 0.38396623980060185}, 'rouge-l': {'r': 0.5411764705882353, 'p': 0.5897435897435898, 'f': 0.5644171729233317}}]
[{'rouge-1': {'r': 0.7134502923976608, 'p': 0.8026315789473685, 'f': 0.7554179516736478}, 'rouge-2': {'r': 0.6423076923076924, 'p': 0.7136752136752137, 'f': 0.6761133553377372}, 'rouge-l': {'r': 0.7017543859649122, 'p': 0.7894736842105263, 'f': 0.7430340507448552}}]
[{'rouge-1': {'r': 0.6074074074074074, 'p': 0.6259541984732825, 'f': 0.6165413483845893}, 'rouge-2': {'r': 0.4375, 'p': 0.46408839779005523, 'f': 0.4504021397764665}, 'rouge-l': {'r': 0.5925925925925926, 'p': 0.6106870229007634, 'f': 0.6015037543996269}}]
[{'rouge-1': {'r': 0.44171779141104295, 'p': 0.6728971962616822, 'f': 0.5333333285484225}, 'rouge-2': {'r': 0.3169642857142857, 'p': 0.5259259259259259, 'f': 0.39554317079476414}, 'rouge-l': {'r': 0.44171779141104295, 'p': 0.6728971962616822, 'f': 0.5333333285484225}}]
[{'rouge-1': {'r': 0.3037974683544304, 'p': 0.48484848484848486, 'f': 0.37354085129464487}, 'rouge-2': {'r': 0.15311004784688995, 'p': 0.23357664233576642, 'f': 0.1849710934824085}, 'rouge-l': {'r': 0.27848101265822783, 'p': 0.4444444444444444, 'f': 0.3424124466253842}}]
[{'rouge-1': {'r': 0.6274509803921569, 'p': 0.6233766233766234, 'f': 0.6254071611238317}, 'rouge-2': {'r': 0.4863636363636364, 'p': 0.49767441860465117, 'f': 0.4919540179891664}, 'rouge-l': {'r': 0.6209150326797386, 'p': 0.6168831168831169, 'f': 0.6188925031433755}}]
[{'rouge-1': {'r': 0.7211538461538461, 'p': 0.7894736842105263, 'f': 0.7537688392313326}, 'rouge-2': {'r': 0.5985915492957746, 'p': 0.6967213114754098, 'f': 0.64393938896809}, 'rouge-l': {'r': 0.7211538461538461, 'p': 0.7894736842105263, 'f': 0.7537688392313326}}]
[{'rouge-1': {'r': 0.5263157894736842, 'p': 0.7272727272727273, 'f': 0.6106870180292524}, 'rouge-2': {'r': 0.4312796208530806, 'p': 0.6453900709219859, 'f': 0.5170454497431883}, 'rouge-l': {'r': 0.5263157894736842, 'p': 0.7272727272727273, 'f': 0.6106870180292524}}]
[{'rouge-1': {'r': 0.3484848484848485, 'p': 0.39655172413793105, 'f': 0.3709677369562956}, 'rouge-2': {'r': 0.23618090452261306, 'p': 0.2919254658385093, 'f': 0.26111110616682104}, 'rouge-l': {'r': 0.3409090909090909, 'p': 0.3879310344827586, 'f': 0.36290322082726334}}]
[{'rouge-1': {'r': 0.6396396396396397, 'p': 0.7029702970297029, 'f': 0.6698113157658421}, 'rouge-2': {'r': 0.5328947368421053, 'p': 0.5955882352941176, 'f': 0.5624999950154321}, 'rouge-l': {'r': 0.6396396396396397, 'p': 0.7029702970297029, 'f': 0.6698113157658421}}]
[{'rouge-1': {'r': 0.6521739130434783, 'p': 0.7142857142857143, 'f': 0.6818181768285125}, 'rouge-2': {'r': 0.5189873417721519, 'p': 0.5942028985507246, 'f': 0.5540540490768809}, 'rouge-l': {'r': 0.6459627329192547, 'p': 0.7074829931972789, 'f': 0.675324670335006}}]
[{'rouge-1': {'r': 0.5195530726256983, 'p': 0.5568862275449101, 'f': 0.5375722493412743}, 'rouge-2': {'r': 0.4111111111111111, 'p': 0.44047619047619047, 'f': 0.4252873513277844}, 'rouge-l': {'r': 0.5139664804469274, 'p': 0.5508982035928144, 'f': 0.5317919025204652}}]
[{'rouge-1': {'r': 0.39759036144578314, 'p': 0.5, 'f': 0.44295301519931535}, 'rouge-2': {'r': 0.2553191489361702, 'p': 0.3157894736842105, 'f': 0.28235293623252594}, 'rouge-l': {'r': 0.3795180722891566, 'p': 0.4772727272727273, 'f': 0.4228187870113959}}]
[{'rouge-1': {'r': 0.46634615384615385, 'p': 0.6381578947368421, 'f': 0.5388888840098767}, 'rouge-2': {'r': 0.40540540540540543, 'p': 0.5443548387096774, 'f': 0.4647160019916993}, 'rouge-l': {'r': 0.46153846153846156, 'p': 0.631578947368421, 'f': 0.533333328454321}}]
[{'rouge-1': {'r': 0.3125, 'p': 0.39325842696629215, 'f': 0.3482587015331304}, 'rouge-2': {'r': 0.1736111111111111, 'p': 0.21008403361344538, 'f': 0.190114063486244}, 'rouge-l': {'r': 0.30357142857142855, 'p': 0.38202247191011235, 'f': 0.33830845277691146}}]
[{'rouge-1': {'r': 0.5669291338582677, 'p': 0.6857142857142857, 'f': 0.6206896502173751}, 'rouge-2': {'r': 0.46524064171123, 'p': 0.5918367346938775, 'f': 0.5209580789040482}, 'rouge-l': {'r': 0.5669291338582677, 'p': 0.6857142857142857, 'f': 0.6206896502173751}}]
[{'rouge-1': {'r': 0.5882352941176471, 'p': 0.6410256410256411, 'f': 0.6134969275245588}, 'rouge-2': {'r': 0.3783783783783784, 'p': 0.4, 'f': 0.38888888389274695}, 'rouge-l': {'r': 0.5529411764705883, 'p': 0.6025641025641025, 'f': 0.5766871115736385}}]
[{'rouge-1': {'r': 0.42857142857142855, 'p': 0.525, 'f': 0.4719101074106805}, 'rouge-2': {'r': 0.3115942028985507, 'p': 0.3944954128440367, 'f': 0.34817813272074616}, 'rouge-l': {'r': 0.42857142857142855, 'p': 0.525, 'f': 0.4719101074106805}}]
[{'rouge-1': {'r': 0.7142857142857143, 'p': 0.7857142857142857, 'f': 0.7482993147392291}, 'rouge-2': {'r': 0.6284403669724771, 'p': 0.7098445595854922, 'f': 0.6666666616851665}, 'rouge-l': {'r': 0.7077922077922078, 'p': 0.7785714285714286, 'f': 0.7414965936507937}}]
[{'rouge-1': {'r': 0.6829268292682927, 'p': 0.7687434002111933, 'f': 0.7232985543816065}, 'rouge-2': {'r': 0.5841750841750841, 'p': 0.6660268714011516, 'f': 0.6224215196851094}, 'rouge-l': {'r': 0.6772983114446529, 'p': 0.7624076029567054, 'f': 0.7173373025187154}}]
[{'rouge-1': {'r': 0.43956043956043955, 'p': 0.7407407407407407, 'f': 0.5517241332565994}, 'rouge-2': {'r': 0.34710743801652894, 'p': 0.6885245901639344, 'f': 0.46153845708187424}, 'rouge-l': {'r': 0.4175824175824176, 'p': 0.7037037037037037, 'f': 0.5241379263600475}}]
[{'rouge-1': {'r': 0.49765258215962443, 'p': 0.585635359116022, 'f': 0.5380710610228299}, 'rouge-2': {'r': 0.31626506024096385, 'p': 0.40076335877862596, 'f': 0.3535353486047909}, 'rouge-l': {'r': 0.47417840375586856, 'p': 0.5580110497237569, 'f': 0.5126903503629314}}]
[{'rouge-1': {'r': 0.5114754098360655, 'p': 0.6081871345029239, 'f': 0.5556544919206522}, 'rouge-2': {'r': 0.37478849407783416, 'p': 0.45764462809917356, 'f': 0.41209301830534995}, 'rouge-l': {'r': 0.5016393442622951, 'p': 0.5964912280701754, 'f': 0.5449688285190493}}]
[{'rouge-1': {'r': 0.6239316239316239, 'p': 0.8111111111111111, 'f': 0.705314004746902}, 'rouge-2': {'r': 0.5652173913043478, 'p': 0.7583333333333333, 'f': 0.6476868278466585}, 'rouge-l': {'r': 0.6239316239316239, 'p': 0.8111111111111111, 'f': 0.705314004746902}}]
[{'rouge-1': {'r': 0.5409836065573771, 'p': 0.5789473684210527, 'f': 0.5593220289040507}, 'rouge-2': {'r': 0.43870967741935485, 'p': 0.4533333333333333, 'f': 0.44590163434560603}, 'rouge-l': {'r': 0.5409836065573771, 'p': 0.5789473684210527, 'f': 0.5593220289040507}}]
[{'rouge-1': {'r': 0.4766355140186916, 'p': 0.5666666666666667, 'f': 0.5177664924991627}, 'rouge-2': {'r': 0.31654676258992803, 'p': 0.3963963963963964, 'f': 0.35199999506272}, 'rouge-l': {'r': 0.4766355140186916, 'p': 0.5666666666666667, 'f': 0.5177664924991627}}]
[{'rouge-1': {'r': 0.35, 'p': 0.49, 'f': 0.40833332847222226}, 'rouge-2': {'r': 0.15083798882681565, 'p': 0.22131147540983606, 'f': 0.1794019885347845}, 'rouge-l': {'r': 0.32857142857142857, 'p': 0.46, 'f': 0.3833333284722223}}]
